name,time,quantity
ดุสิต,jun_61,5311.6
ตลิ่งชัน,jun_61,4557.22
ทวีวัฒนา,jun_61,3391.67
ทุ่งครุ,jun_61,4304.1
ธนบุรี,jun_61,4972.64
บางกอกน้อย,jun_61,5167.26
บางกอกใหญ่,jun_61,2430.94
บางกะปิ,jun_61,10738.1
บางขุนเทียน,jun_61,10484.6
บางเขน,jun_61,9622.26
บางคอแหลม,jun_61,4247.16
บางแค,jun_61,8857.47
บางซื่อ,jun_61,5091.98
บางนา,jun_61,7153.92
บางบอน,jun_61,7033.23
บางพลัด,jun_61,4804.5
บางรัก,jun_61,4851.46
บึงกุ่ม,jun_61,6334.08
ปทุมวัน,jun_61,9156.05
ประเวศ,jun_61,9609.78
ป้อมปราบศัตรูพ่าย,jun_61,2502.78
พญาไท,jun_61,5508.47
พระโขนง,jun_61,4559.81
พระนคร,jun_61,6010.62
ภาษีเจริญ,jun_61,4998.55
มีนบุรี,jun_61,6058.66
ยานนาวา,jun_61,5917.59
ราชเทวี,jun_61,6945.94
ราษฎร์บูรณะ,jun_61,3651.39
ลาดกระบัง,jun_61,9458.37
ลาดพร้าว,jun_61,6965.01
วังทองหลาง,jun_61,7287.36
วัฒนา,jun_61,9148.34
สวนหลวง,jun_61,7582.82
สะพานสูง,jun_61,3905.95
สัมพันธวงศ์,jun_61,1621.48
สาทร,jun_61,5027.43
สายไหม,jun_61,7471.77
หนองแขม,jun_61,5379.47
หนองจอก,jun_61,4416.93
หลักสี่,jun_61,5770.65
ห้วยขวาง,jun_61,7105.93
อื่นๆ,jun_61,17133.26
คลองเตย,jul_61,9346.7
คลองสาน,jul_61,3722.18
คลองสามวา,jul_61,5821.24
คันนายาว,jul_61,4637.76
จตุจักร,jul_61,13543.3
จอมทอง,jul_61,6498.68
ดอนเมือง,jul_61,6827.16
ดินแดง,jul_61,8962.59
ดุสิต,jul_61,5080.3
ตลิ่งชัน,jul_61,4513.84
ทวีวัฒนา,jul_61,3379.47
ทุ่งครุ,jul_61,4187.84
ธนบุรี,jul_61,5165.11
บางกอกน้อย,jul_61,5132.21
บางกอกใหญ่,jul_61,2488.32
บางกะปิ,jul_61,10667.3
บางขุนเทียน,jul_61,10173.4
บางเขน,jul_61,9910.42
บางคอแหลม,jul_61,4190.77
